y0t,y1t,y3,t1,x1
116.64,117.68,116.64,0,106.19
148.9,128.87,128.87,1,149.11
157.83,129.56,129.56,1,158.3
186.95,149.06,149.06,1,189.31
133.77,102.62,133.77,0,123.26
172.63,127.66,127.66,1,172.91
141.65,111.03,111.03,1,135.13
217.01,126.09,126.09,1,204.54
142.37,107.85,107.85,1,132.91
169.08,139.03,139.03,1,168.75
182.13,139.52,139.52,1,174.36
124.59,99.39,124.59,0,118.39
138.83,115.54,115.54,1,143.06
149.87,114.47,114.47,1,145.27
140.82,130.92,130.92,1,140.4
172.46,135.06,135.06,1,168.51
122.68,123.51,122.68,0,120.79
171.72,126.17,126.17,1,166.69
157.61,132.39,132.39,1,159.16
137.77,124.32,124.32,1,137.13
157.44,120.05,120.05,1,161.26
147.52,116.38,116.38,1,145.31
189.67,136.68,136.68,1,183.48
169.17,118.98,118.98,1,170.41
138.93,132.68,132.68,1,152.06
139.13,92.85,92.85,1,133.73
163.19,152.52,152.52,1,168.16
152.15,131.82,131.82,1,147.16
158.03,118.03,118.03,1,142.62
178.06,137.24,137.24,1,174.73
136.74,115.59,115.59,1,130.62
171.22,134.08,134.08,1,156.9
164.52,117.55,117.55,1,160.27
161.84,109.86,109.86,1,165.28
158.81,139.58,139.58,1,173.41
137.32,124.88,124.88,1,140.81
174.11,135.93,135.93,1,168.51
198.57,128.74,128.74,1,180.46
170.16,140.06,140.06,1,165.73
166.1,134.01,134.01,1,163.19
139.45,129.61,129.61,1,138.19
184.41,142.51,142.51,1,170.59
147.7,132.92,132.92,1,139.31
143.27,112.25,112.25,1,146.43
200.33,141.07,141.07,1,185.47
164.22,123.19,123.19,1,162.18
149.79,119.83,119.83,1,165.09
172.59,128.8,128.8,1,155.27
158.62,126.29,126.29,1,149.17
189.58,134.53,134.53,1,200.63
133.99,125.67,125.67,1,140.73
105.9,106.17,105.9,0,110.54
142.93,118.04,118.04,1,146.96
113.27,122.19,113.27,0,105.08
137.6,121.19,121.19,1,138.11
132.08,104.08,132.08,0,127.9
75.49,67.7,75.49,0,62.55
133.19,91.58,91.58,1,140.45
168.28,148.4,148.4,1,174.44
157.7,104.23,104.23,1,136.05
137.07,124.86,124.86,1,134.34
148.28,109.01,109.01,1,136.74
190.14,134.58,134.58,1,197.44
180.68,131.77,131.77,1,184.89
138.32,101.72,101.72,1,131.35
140.33,115.67,115.67,1,142.36
175.01,142.67,142.67,1,179.24
159.26,137.32,137.32,1,157.61
146.84,141.91,141.91,1,147.06
150.02,113.87,113.87,1,148.5
178.06,126.45,126.45,1,186.77
105.96,91.01,105.96,0,113.05
148.21,110.69,110.69,1,132.91
161.72,132.6,132.6,1,161.51
160.82,126.99,126.99,1,145.46
133.85,131.76,133.85,0,121.03
146,129.81,129.81,1,160.23
153.17,128.4,128.4,1,143.54
141.66,131.17,131.17,1,143.33
153.94,120.41,120.41,1,154.1
129.98,121.97,121.97,1,140.16
113.32,118.85,113.32,0,103.91
123.81,120.17,123.81,0,111.44
156.86,131.75,131.75,1,135.34
145.84,109.79,145.84,0,128.7
156.53,135.06,135.06,1,169.46
149.13,122.82,122.82,1,149.24
108.34,122.69,108.34,0,113.61
153.71,126.21,126.21,1,152.34
182.85,124.97,124.97,1,174.56
120.28,106.07,106.07,1,135.08
154.12,117.43,117.43,1,151.87
226.92,140.6,140.6,1,204.94
156.72,117.89,117.89,1,169.88
142,114.67,114.67,1,136.53
114.94,104.8,114.94,0,109.97
121.61,114.83,114.83,1,131.72
142.17,118.92,118.92,1,141.11
132.35,119.15,132.35,0,125.36
128.76,127.56,127.56,1,131.72
184.85,137.16,137.16,1,186.63
207.62,134.36,134.36,1,196.47
146.11,119.56,119.56,1,150.09
122.14,101.89,122.14,0,116.41
152.66,113.95,113.95,1,153.78
156.91,127.38,127.38,1,157.25
140.44,134.26,134.26,1,146.94
160.3,151.69,151.69,1,153.13
115.94,128.69,128.69,1,130.69
136.94,97.15,136.94,0,124.68
168.86,131.86,131.86,1,174.17
134.71,107.97,107.97,1,139.42
129.5,118.73,129.5,0,129.21
193.73,126.35,126.35,1,185
152.15,122.57,122.57,1,150.43
206.74,129.06,129.06,1,196.19
136.76,115.47,115.47,1,132.84
144.79,129.84,129.84,1,144.53
188.91,126.23,126.23,1,167.06
163.7,143.07,143.07,1,163.1
156.58,103.24,103.24,1,152.01
158.53,124.75,124.75,1,151.34
122.9,104.82,104.82,1,131.57
162.39,126.98,126.98,1,174.16
158.76,125.37,125.37,1,174.61
147.97,130.97,130.97,1,154.68
161.84,132.56,132.56,1,156.82
197.82,145.67,145.67,1,180.25
158.01,102.05,102.05,1,154.72
196.54,131.32,131.32,1,199.06
134.3,127,127,1,153.47
94.14,112.81,94.14,0,110.53
153.59,119.27,119.27,1,130.07
190.89,139.82,139.82,1,180.61
151.58,117.08,117.08,1,140.87
152.16,126.98,126.98,1,145.94
167.4,130.76,130.76,1,164.01
130.8,120.28,130.8,0,128.48
166.06,136.66,136.66,1,180.97
162.7,131.5,131.5,1,169.19
111.71,117.13,111.71,0,122.81
155.84,120.4,120.4,1,151.69
192.67,131.56,131.56,1,190.13
179.45,130.54,130.54,1,180.81
141.48,119.58,119.58,1,140.52
122.54,122.32,122.54,0,116.25
161.23,125.28,125.28,1,159.12
126.71,120.59,120.59,1,140.91
190.34,145.8,145.8,1,184.37
148.3,125.82,125.82,1,157.3
159.19,145.22,145.22,1,167.76
128.95,109.52,128.95,0,126.56
120.17,117.63,120.17,0,122.15
170.21,131.89,131.89,1,165.86
135.05,116.18,116.18,1,144.22
118.42,120.8,118.42,0,115.8
130.87,92.91,92.91,1,131.13
111.73,105.42,111.73,0,121.86
136.33,122.76,122.76,1,144.52
123.99,115.37,115.37,1,146.64
124.89,119.42,124.89,0,129.55
169.68,128.16,128.16,1,161.81
115.5,122.17,115.5,0,128.27
120.29,126.47,120.29,0,116.69
145.77,116.11,116.11,1,151.76
171.08,130.76,130.76,1,161.6
159.78,123.69,123.69,1,157.23
78.79,78.3,78.79,0,77.88
72.17,89.88,72.17,0,91.63
91.69,127.22,91.69,0,106.73
162.45,108.32,108.32,1,170.63
124.37,97.41,124.37,0,123.87
139.89,107.21,139.89,0,128.07
130.55,117.42,117.42,1,139.99
132.35,113.77,132.35,0,118.3
156.69,124.14,124.14,1,153.46
166.78,147.42,147.42,1,179.59
110.19,95.97,110.19,0,97.24
152.84,117,117,1,156.52
178.65,139.74,139.74,1,173.64
142.19,114.28,114.28,1,134.5
148.16,124.85,124.85,1,149.77
174.03,120.1,120.1,1,163.01
207.02,126.47,126.47,1,195.16
129.3,97.42,129.3,0,102.19
146.69,122.15,122.15,1,154.98
173.37,119.65,119.65,1,156.91
131.04,119.12,131.04,0,129.09
189.07,127.31,127.31,1,200.74
160.19,130.55,130.55,1,160.73
181.05,145.67,145.67,1,176.6
132.85,117.45,117.45,1,134.85
197.74,129.09,129.09,1,176.86
137.87,92.64,92.64,1,132.19
155.31,124.39,124.39,1,145.53
173.19,129.63,129.63,1,162.49
131.62,113.6,113.6,1,145.01
161.54,115.37,115.37,1,152.25
188.5,129.16,129.16,1,175.12
116.86,91.54,116.86,0,103.18
165.98,126.1,126.1,1,163.12
127.81,101.31,101.31,1,137.13
161.47,141.22,141.22,1,180.27
125.9,109.28,109.28,1,137.18
171.63,122.3,122.3,1,177.27
177.67,126.04,126.04,1,162.3
166.59,116.5,116.5,1,143.93
189.94,148.15,148.15,1,202.9
178.48,124.61,124.61,1,179.72
169.27,142.71,142.71,1,172.38
162.83,124.04,124.04,1,171.71
195.04,124.11,124.11,1,191.4
176.16,146.73,146.73,1,186.14
170.61,133.85,133.85,1,168.62
140.49,113.77,113.77,1,132.75
120.83,128.64,128.64,1,130.21
150.04,130.59,130.59,1,143.45
138.56,114.06,114.06,1,139.8
164.4,124.37,124.37,1,155.03
128.8,123.56,123.56,1,131.7
164.75,128.31,128.31,1,168.23
137.33,123.23,123.23,1,158.17
82.8,110.47,82.8,0,82.3
145.71,126.31,126.31,1,135.2
157.29,127.41,127.41,1,162.61
116.27,99.49,116.27,0,111.93
146.8,127.03,127.03,1,141.03
141.59,134.8,134.8,1,138.25
150.79,110.73,110.73,1,161.73
118.39,95.57,118.39,0,113.12
141.7,132.99,141.7,0,127.1
145.73,118.47,118.47,1,161.45
128.98,116.71,116.71,1,132.19
139.22,115.51,115.51,1,140.54
188.5,150.43,150.43,1,200.17
143.32,117.63,117.63,1,136.25
121.55,99.27,121.55,0,100.48
171.08,110.38,110.38,1,175.86
112.12,110.61,112.12,0,128.88
117.45,99.71,117.45,0,124.58
145.64,132.04,132.04,1,166.87
146.32,118.45,118.45,1,149.17
209.26,146.07,146.07,1,206.14
153.4,126.16,126.16,1,138.65
136.89,127.74,127.74,1,154.87
151.24,123.51,123.51,1,150.79
104.28,86.98,104.28,0,105.27
148.86,121.7,121.7,1,148.24
183.23,144.99,144.99,1,195.1
172.2,117.49,117.49,1,161.12
114.31,100.99,114.31,0,120.23
156.34,131.68,131.68,1,156.21
147.09,118.75,118.75,1,147.03
172.13,127.43,127.43,1,167.17
98.11,85.47,98.11,0,114.81
167.52,157.16,157.16,1,164.38
153.86,136.03,136.03,1,165.94
98.85,108.44,98.85,0,126.3
104.54,98.12,104.54,0,112.11
180.69,126,126,1,156.66
159.36,125.72,125.72,1,157.29
188.44,146.83,146.83,1,192.72
164.87,108.08,108.08,1,161.92
179.06,140.18,140.18,1,182.69
199.17,155.65,155.65,1,195.15
169.09,146.98,146.98,1,175.88
156.28,141.64,141.64,1,162.91
145.41,104.62,104.62,1,140.15
100.76,102.13,100.76,0,112.24
143.95,127.04,127.04,1,150.15
172.54,129.99,129.99,1,171.38
167.23,129.88,129.88,1,168.25
158.22,100.42,100.42,1,158.72
192.07,149.76,149.76,1,184.03
140.72,130.26,130.26,1,142.78
200.72,149.25,149.25,1,197.21
162.7,135.73,135.73,1,149.57
158.97,128.48,128.48,1,163.53
131.67,121.95,121.95,1,136.5
151.23,119.97,119.97,1,147.98
145.11,129.97,129.97,1,149.26
125.49,113.64,113.64,1,146.37
136.96,128.23,128.23,1,149.73
122.58,112.64,122.58,0,115.53
174.4,126.46,126.46,1,166.79
121.05,104.86,121.05,0,121.14
168.08,121.04,121.04,1,160.56
143.91,118.69,118.69,1,140.33
117.98,112.5,117.98,0,118.99
130.35,124.04,124.04,1,161.42
108.82,108.11,108.82,0,114.73
193.62,119.22,119.22,1,198.35
180,135.66,135.66,1,164.24
184.14,120.55,120.55,1,173.32
106.04,113.93,106.04,0,111.37
161.54,122.9,122.9,1,165.04
134.03,112.42,134.03,0,126.23
166.54,145.35,145.35,1,184.01
136.59,128.75,128.75,1,143.34
65.31,73,65.31,0,74.13
149.51,101.54,101.54,1,144.03
146.28,118.88,118.88,1,143.2
183.2,146.7,146.7,1,179.76
148.29,106.55,106.55,1,151.28
159.43,148.01,148.01,1,158.28
172.06,121.79,121.79,1,163.29
159.21,125,125,1,165.35
150.63,131.61,131.61,1,151.92
149.23,113.78,113.78,1,143.48
141.4,113.63,141.4,0,126.95
145.06,130.66,130.66,1,152.94
120.49,101.48,120.49,0,96.54
146.64,128.77,128.77,1,142.01
125.69,110.95,110.95,1,131.48
145.28,122.12,145.28,0,126.86
172.6,143.23,143.23,1,168.95
166.72,117.96,117.96,1,158.99
123.82,112.81,123.82,0,129.27
134.63,114.22,114.22,1,138.86
137.96,113.94,113.94,1,133.23
124.4,99.83,124.4,0,129.98
178.83,126.8,126.8,1,190.27
139.23,115.91,115.91,1,150.46
93.15,114.81,93.15,0,122.92
190.49,129.2,129.2,1,182.24
134.16,122.66,122.66,1,146.4
91.2,94.97,91.2,0,92.8
162.78,108.07,108.07,1,147.88
156.68,144.93,144.93,1,154.98
205.09,130.64,130.64,1,180.75
165.42,129.77,129.77,1,150.11
126.99,121.39,126.99,0,117.63
136.89,131.42,131.42,1,140.07
195.73,132.07,132.07,1,193.49
177.34,143.13,143.13,1,175.58
139.36,130.25,130.25,1,136.81
170.79,121.36,121.36,1,171.15
169.03,151.41,151.41,1,170.54
116.26,101.41,116.26,0,116.61
198.5,140.42,140.42,1,176.08
113.81,89.26,113.81,0,121.93
175.66,123.88,123.88,1,167.27
156.41,121.46,121.46,1,159.22
171.75,125.87,125.87,1,166.21
129.07,120.62,120.62,1,139
124.83,108.91,124.83,0,128.34
152.35,138.14,138.14,1,171.63
134.33,112.76,112.76,1,137.25
113.2,129.38,129.38,1,131.03
229.33,148.54,148.54,1,235.05
147.68,124.28,124.28,1,138.74
205.95,119.79,119.79,1,193.23
130.48,123.17,123.17,1,132.04
163.46,130.23,130.23,1,163.34
164.97,128.77,128.77,1,148.25
123.96,114.35,123.96,0,111.24
175.01,124.34,124.34,1,156.84
204.86,139.33,139.33,1,197.13
179.41,139.17,139.17,1,171.08
161.18,130.6,130.6,1,158.36
157.15,136.95,136.95,1,150.51
130.45,95.41,130.45,0,124.82
160.81,134.51,134.51,1,160.32
133.46,99.86,99.86,1,130.82
171.02,126.55,126.55,1,173.12
148.41,133.02,133.02,1,157.73
208.79,133.57,133.57,1,199.17
119.32,127.82,119.32,0,126.56
158.74,130.19,130.19,1,160.51
123.18,109.01,109.01,1,136.52
179.04,117.48,117.48,1,171.71
179.94,146.26,146.26,1,178.75
156.19,121.13,121.13,1,150.44
112.84,112.57,112.84,0,126.8
143.81,106.79,106.79,1,137.36
202.03,126.45,126.45,1,180.64
170.7,135.23,135.23,1,180.26
116.11,101.5,116.11,0,107.54
175.96,122.85,122.85,1,152.37
164.27,134.8,134.8,1,169.05
197.28,136.72,136.72,1,209.18
151.51,130.16,130.16,1,148.91
154.13,109.22,109.22,1,151.68
167.2,137.03,137.03,1,153.88
123.33,106.83,106.83,1,136.68
108.7,101,108.7,0,104.28
168.38,117.58,117.58,1,165.01
165.12,136.82,136.82,1,152.13
132.43,109.87,109.87,1,140.09
113.1,97.47,113.1,0,109.56
137.98,127.63,127.63,1,149.43
156.97,111.88,111.88,1,160.16
166.01,147.37,147.37,1,162.73
190.41,120.93,120.93,1,189.67
172.15,151.33,151.33,1,176.16
127.64,112.09,127.64,0,123.8
128.67,97.84,97.84,1,130.23
163.14,130.27,130.27,1,161.68
151.12,120.97,120.97,1,163.85
122.91,105.81,105.81,1,132.98
77.5,86.06,77.5,0,80.13
113.62,118.14,113.62,0,122.89
145.65,103.98,103.98,1,133.57
122.13,114.41,122.13,0,125.77
159.07,132.25,132.25,1,160.32
107.93,105.45,107.93,0,127.11
149.26,108.27,108.27,1,138.79
116.56,109.88,109.88,1,130.04
112.31,119.62,112.31,0,124.57
168.28,129.52,129.52,1,175.37
130.22,123.17,123.17,1,133.71
169.41,144.38,144.38,1,150.96
138.73,129.59,129.59,1,154.6
157.37,122.81,122.81,1,161.29
140.53,130.85,130.85,1,157.7
167.02,137.56,137.56,1,157.12
166.04,132.83,132.83,1,166.61
129.87,106.09,106.09,1,141.73
205.79,130.57,130.57,1,187.29
169.65,119.57,119.57,1,154.3
155.24,111.95,111.95,1,154.78
163.96,113.57,113.57,1,143.01
168.3,126.17,126.17,1,169.38
123.93,122.35,122.35,1,141.6
160.13,126.75,126.75,1,149.74
150.71,124.82,124.82,1,146.52
138.13,125.03,125.03,1,148.66
175.17,136.98,136.98,1,183.24
195.33,137.53,137.53,1,174.74
203.3,132.28,132.28,1,191.61
87.7,91.31,87.7,0,97
152.9,115.57,115.57,1,153.54
160.43,105.6,105.6,1,145.55
147.75,125.6,125.6,1,157.45
159.79,144.75,144.75,1,178.49
154.56,122.01,122.01,1,153.17
131.87,113.1,113.1,1,137.85
115.34,117.15,115.34,0,124.9
180.94,133.43,133.43,1,194.61
111.32,113.38,111.32,0,128.32
118.56,117.6,118.56,0,125.74
134.78,104.56,134.78,0,119.93
149.46,126.26,126.26,1,140.82
159.47,122.24,122.24,1,150.34
179.95,119.97,119.97,1,183
164.42,142.83,142.83,1,162.23
129.53,99.26,129.53,0,119.94
126.82,93.6,126.82,0,128.16
149.91,140.42,140.42,1,152.8
182.59,139.98,139.98,1,187.86
169.15,118.3,118.3,1,159.41
191.7,139.21,139.21,1,182.43
212.87,151.73,151.73,1,214.06
121.09,129.84,121.09,0,124.95
172.97,125.06,125.06,1,170.02
113.01,127.99,113.01,0,124.1
176.95,140.69,140.69,1,184.15
143.54,131.05,131.05,1,144.27
143.8,141.74,141.74,1,143.3
151.6,132.46,132.46,1,159.34
180.48,131.75,131.75,1,174.51
208.16,156.61,156.61,1,207.03
186.28,112.24,112.24,1,163.31
175.62,130.67,130.67,1,162.47
150.59,127.24,127.24,1,153.85
148.93,131.82,131.82,1,152.07
116.77,91.82,116.77,0,110.35
104.08,101.32,104.08,0,111.76
204.29,127.67,127.67,1,193.1
149.66,126.91,126.91,1,155.11
184.95,127.39,127.39,1,180.95
169.28,130.81,130.81,1,156.07
173.46,139.18,139.18,1,175.34
178.7,143.4,143.4,1,182.06
171.54,137.61,137.61,1,157.23
83.27,94.28,83.27,0,89.91
197.82,158.73,158.73,1,206.71
149.74,120.99,120.99,1,134.72
147.38,109.86,109.86,1,138.41
120.14,106.2,120.14,0,112.96
149.18,119.56,119.56,1,142.4
157.33,125.01,125.01,1,157.83
150.13,108.3,108.3,1,143.37
124.36,101.74,124.36,0,115.99
152.21,138.79,138.79,1,159.86
166.68,131.65,131.65,1,163.47
197.44,140.36,140.36,1,203.43
172.73,135.18,135.18,1,155.18
112.14,107.57,112.14,0,118.08
144.8,107.54,107.54,1,137.11
151.03,135.85,135.85,1,148.03
150.4,130.5,130.5,1,165.96
166.67,120.05,120.05,1,170.32
122.71,110.57,122.71,0,127.67
136.64,116.38,116.38,1,139.96
164.48,149.99,149.99,1,170.6
101.4,112.1,101.4,0,117.4
186.19,138.68,138.68,1,171.83
178.68,119.18,119.18,1,167.24
114.3,116.8,114.3,0,128.67
159.54,121.27,121.27,1,166.35
203.16,142.14,142.14,1,185
168.07,130.29,130.29,1,175.06
89.87,53.89,89.87,0,73.95
149.77,139.08,139.08,1,143.94
185.21,143.6,143.6,1,196.3
106.18,97.32,106.18,0,108.08
141.04,106.01,106.01,1,134.3
158.7,114.58,114.58,1,156.33
147.43,125.79,125.79,1,149.37
149.68,101.1,101.1,1,145.33
145.43,113.04,113.04,1,144.17
212.56,143.65,143.65,1,218.11
68.3,82.61,68.3,0,80.19
190.83,137.24,137.24,1,191.29
216.18,131.93,131.93,1,215.24
134.43,115.69,115.69,1,134.92
166.72,113.48,113.48,1,160.26
178.57,104.26,104.26,1,163.8
103.46,112.33,103.46,0,96.95
163.38,116.68,116.68,1,147.15
139.99,130.29,130.29,1,143.16
154.41,117.88,117.88,1,155.21
203.37,139.41,139.41,1,209.12
197.94,141.49,141.49,1,190.14
189.26,147.55,147.55,1,191.35
206.59,137.77,137.77,1,205.36
123.82,128.94,128.94,1,138.97
166.66,110.3,110.3,1,164.08
194.15,97.54,97.54,1,179.5
118.43,101.94,118.43,0,126.66
155.46,123.46,123.46,1,149.45
148.56,106.84,106.84,1,144.17
111.63,102.86,111.63,0,119.4
166.53,122.11,122.11,1,164.11
175.55,116.3,116.3,1,167.95
132.78,135.86,135.86,1,130.7
147.79,129.99,129.99,1,160.86
162.39,123.37,123.37,1,157.4
139.46,113.1,139.46,0,125.71
135.45,133.16,133.16,1,133.98
162.15,117.96,117.96,1,173.07
127.11,117.41,127.11,0,122.84
158.7,129.99,129.99,1,161.5
158.11,126.29,126.29,1,144.55
196.18,143.51,143.51,1,183.08
176.32,133.28,133.28,1,157.13
119.59,104.86,119.59,0,127.64
153.47,130.89,130.89,1,149.56
175.51,121.22,121.22,1,160.56
150.39,118.18,118.18,1,153.08
111.08,105.39,111.08,0,108.54
135.61,118.18,118.18,1,146.8
143.36,109.92,143.36,0,127.74
174.64,147.98,147.98,1,172.42
179,141.39,141.39,1,183.77
121.67,105.22,121.67,0,124.2
153.41,124.21,124.21,1,162.84
160.43,113.34,113.34,1,158.49
136.09,93.72,93.72,1,143.4
175.38,141.36,141.36,1,161.13
188.28,138.95,138.95,1,184.2
118.49,107.03,118.49,0,129.46
141.88,128.22,128.22,1,154.78
178.38,129.27,129.27,1,186.17
143.68,106.73,143.68,0,124.91
161.25,132.98,132.98,1,165.38
169.95,139.03,139.03,1,156.11
131.26,142.43,142.43,1,132.37
96.13,122.24,96.13,0,110.97
138.75,106.91,106.91,1,131.06
184.78,122.62,122.62,1,188.55
142.81,133.9,133.9,1,148.38
118.69,103.76,118.69,0,125.84
174.06,111.43,111.43,1,159.4
82.29,110.72,82.29,0,99.48
141.77,139.84,139.84,1,156.12
164.41,120.77,120.77,1,150.61
131.48,99.28,131.48,0,126.56
163.78,113.15,113.15,1,150.25
126.94,99.89,126.94,0,119.53
179.39,132.63,132.63,1,167.27
140.33,123.32,123.32,1,161.53
172.77,125.54,125.54,1,164.15
134.95,118.96,118.96,1,148.94
163.91,133.6,133.6,1,162.36
126.91,115.7,115.7,1,130.67
194.02,152.45,152.45,1,189.52
125.71,95.81,125.71,0,104.37
154.43,141.77,141.77,1,158.17
131.89,114.37,114.37,1,142.98
169.28,120.73,120.73,1,172.45
115.72,107.84,107.84,1,133.96
161.41,118.82,118.82,1,153.53
102.46,84.25,102.46,0,108.64
91.47,82.69,91.47,0,100.38
120.1,106.97,106.97,1,137.14
102.9,108.34,102.9,0,100.92
164.51,134.05,134.05,1,157.58
170.83,123.35,123.35,1,165.34
194.34,139.45,139.45,1,168.72
164.6,128.18,128.18,1,149.36
150.31,128.87,128.87,1,167.92
195.03,128.44,128.44,1,176.98
149.94,134.26,134.26,1,146.91
167.65,139.07,139.07,1,168.24
