school,math,class,enroll,pctdis,fsc
11111,56.22000122,30,106,5,35.33333333
11111,62.33000183,31,106,5,35.33333333
11115,58.43999863,30,57,11,28.5
11115,61.99679947,27,57,11,28.5
11117,62.59000015,28,66,31,33
11117,57.63000107,27,66,31,33
11119,48.06999969,29,83,21,27.66666667
11119,55.81000137,24,83,21,27.66666667
11119,62.79000092,30,83,21,27.66666667
11120,54.38999939,35,106,2,35.33333333
11120,55.45000076,35,106,2,35.33333333
11120,58.29935455,36,106,2,35.33333333
11126,53.90999985,22,47,16,23.5
11126,54.95999908,25,47,16,23.5
11127,62.77999878,29,29,6,29
11128,81.43000031,22,79,12,39.5
11128,74.38999939,31,79,12,39.5
11128,75.45999908,26,79,12,39.5
11132,61.15000153,35,106,9,35.33333333
11132,66.55000305,32,106,9,35.33333333
11132,56.20999908,31,106,9,35.33333333
11133,72,29,29,7,29
11134,69.73999786,28,60,2,30
11134,69.80000305,32,60,2,30
11135,79.86000061,33,65,4,32.5
11135,72.13999939,32,65,4,32.5
11144,56.11999893,27,80,10,40
11144,60.36000061,26,80,10,40
11144,61.95999908,27,80,10,40
11150,72.61000061,34,101,2,33.66666667
11150,66.09999847,33,101,2,33.66666667
11150,68.52999878,34,101,2,33.66666667
11151,48.95000076,22,42,42,21
11151,49.05277634,20,42,42,21
11152,73.05999756,34,68,5,34
11152,75.5,34,68,5,34
11159,74.55999756,26,50,17,25
11159,58.83000183,24,50,17,25
11161,61.83000183,18,40,19,40
11161,62.14571381,22,40,19,40
11165,78.16999817,21,21,1,21
11168,58.47999954,24,24,5,24
11170,74.25,43,67,2,33.5
11170,77.51999664,24,67,2,33.5
11171,70.66000366,33,74,8,37
11171,63.49000168,41,74,8,37
11172,81.26999664,13,13,7,13
11181,68.31999969,32,64,8,32
11181,59.63999939,32,64,8,32
11182,69.34999847,23,46,9,23
11182,74.9023819,23,46,9,23
11183,64.05999756,39,79,1,39.5
11183,68.20999908,40,79,1,39.5
11184,74.70999908,41,81,5,27
11184,77.88999939,40,81,5,27
11187,67.83000183,37,115,4,38.33333333
11187,73.69000244,39,115,4,38.33333333
11187,84.08000183,40,115,4,38.33333333
11188,47.33000183,25,60,12,30
11188,39.4165535,30,60,12,30
11189,81.22000122,32,32,11,32
11190,63.15000153,27,81,5,27
11190,67.87999725,27,81,5,27
11190,72.78592682,27,81,5,27
11196,73.22000122,28,28,0,28
11201,67.37999725,35,99,3,33
11201,72.29000092,30,99,3,33
11201,70.97000122,34,99,3,33
11203,66.76000214,23,23,0,23
11205,70,20,20,3,20
11207,61.61000061,25,75,10,37.5
11207,66.95999908,27,75,10,37.5
11207,70.08000183,23,75,10,37.5
11209,59.40999985,33,33,0,33
11212,78.02999878,32,32,2,32
11213,75.13999939,36,101,7,33.66666667
11213,69.41999817,32,101,7,33.66666667
11213,70.9981842,33,101,7,33.66666667
11217,55.09000015,31,102,5,34
11217,65.37000275,35,102,5,34
11217,64.30999756,36,102,5,34
11218,73.93000031,32,107,6,35.66666667
11218,67.76999664,31,107,6,35.66666667
11218,65.53125,32,107,6,35.66666667
11219,80.25,22,22,3,22
11220,65.25,36,138,4,34.5
11220,75.87000275,34,138,4,34.5
11220,72.68000031,34,138,4,34.5
11220,79.91000366,34,138,4,34.5
11221,71.37000275,38,94,11,31.33333333
11222,67.70999908,26,75,3,37.5
11222,67.48000336,25,75,3,37.5
11222,65.56999969,24,75,3,37.5
11225,74.26999664,25,70,2,35
11227,66.70999908,33,114,0,38
11227,68.81999969,34,114,0,38
11227,65.54085541,35,114,0,38
11228,68.02999878,39,39,19,39
11233,64.08000183,28,53,11,26.5
11233,60.90000153,25,53,11,26.5
11234,65.54000092,34,214,10,35.66666667
11234,72.79000092,34,214,10,35.66666667
11234,65.47000122,34,214,10,35.66666667
11234,73.02999878,34,214,10,35.66666667
11234,NA,34,214,10,35.66666667
11235,63.13000107,40,39,8,39
11238,68.08999634,32,32,1,32
11239,61.63000107,36,71,3,35.5
11239,68.70999908,35,71,3,35.5
11247,55.95999908,29,64,5,32
11247,57,35,64,5,32
11248,72.45999908,38,154,5,38.5
11248,68.66999817,39,154,5,38.5
11248,60.22999954,38,154,5,38.5
11248,66.25911713,39,154,5,38.5
11249,67.33000183,20,20,15,20
11250,68,38,125,8,31.25
11250,67.87999725,36,125,8,31.25
11250,65.76000214,36,125,8,31.25
11251,75.22000122,10,10,8,10
11256,71.88999939,30,30,3,30
11257,62.24000168,21,21,5,21
11258,71.84999847,23,59,3,29.5
11258,72.15000153,25,59,3,29.5
11259,67.33000183,19,58,0,29
11259,61.79000092,21,58,0,29
11281,76.45999908,29,29,3,29
11295,56.40999985,15,22,5,22
11307,75.26999664,30,30,5,30
11317,66.30999756,28,28,0,28
21005,69.38999939,22,22,0,22
21006,65,31,63,2,31.5
21006,62.16999817,32,63,2,31.5
21010,62.5,18,18,43,18
21012,67,33,33,1,33
21013,87.19999695,24,24,0,24
21021,66.37999725,21,21,0,21
21026,74.41999817,26,95,27,31.66666667
21026,69.54000092,25,95,27,31.66666667
21026,57.25999832,26,95,27,31.66666667
21026,66.5,9,95,27,31.66666667
21028,62.40999985,27,42,40,21
21029,60.86999893,22,42,44,21
21029,59.31000137,20,42,44,21
21030,57.68999863,33,42,65,21
21031,63.84999847,26,52,36,26
21031,72.15000153,26,52,36,26
21032,55.72999954,24,51,13,25.5
21032,59.34999847,27,51,13,25.5
21041,69,23,23,3,23
21042,51.09999847,26,37,0,37
21043,61.90999985,23,45,1,22.5
21043,58.56999969,22,45,1,22.5
21048,72,27,81,13,27
21048,62.20000076,26,81,13,27
21048,69.63999939,28,81,13,27
21050,67.55999756,26,54,3,27
21050,72.04000092,28,54,3,27
21052,65.76999664,24,24,0,24
21057,71.94999695,25,51,2,25.5
21057,66.40399933,26,51,2,25.5
21064,56.5,25,52,1,26
21064,54.74000168,27,52,1,26
21065,71,14,14,0,14
21067,64.25,21,45,38,22.5
21067,58.72999954,24,45,38,22.5
21068,56.70000076,30,59,33,29.5
21068,64.41034698,29,59,33,29.5
21069,58.68999863,34,114,16,38
21069,69.12999725,36,114,16,38
21069,68.19773865,33,114,16,38
21070,55,36,120,14,40
21070,69.59999847,35,120,14,40
21070,57.96875,35,120,14,40
21073,76.41999817,31,95,16,31.66666667
21073,63.54999924,30,95,16,31.66666667
21073,67.14939117,34,95,16,31.66666667
21074,37.79999924,21,42,52,21
21074,41.72000122,21,42,52,21
21077,46.27000046,25,25,48,25
21078,57.58000183,29,85,36,28.33333333
21078,55.36000061,29,85,36,28.33333333
21078,59.83000183,27,85,36,28.33333333
21079,48,31,31,60,31
21080,59.45999908,24,24,14,24
21081,51.33000183,24,24,49,24
21088,70.97000122,35,35,7,35
21089,68.94000244,33,65,14,32.5
21089,80.47000122,32,65,14,32.5
21090,69,21,29,42,29
21091,60.61000061,22,22,0,22
21093,71.55999756,20,41,0,20.5
21093,67.59999847,21,41,0,20.5
21094,58.38000107,41,80,3,40
21094,61.65999985,39,80,3,40
21095,69.18000031,22,22,2,22
21096,68.91000366,23,60,3,30
21096,76.12999725,24,60,3,30
21097,62.29000092,27,53,0,26.5
21097,59.45199966,26,53,0,26.5
21102,72.97000122,33,65,8,32.5
21102,77.19999695,32,65,8,32.5
21105,69.29000092,18,18,0,18
21111,65.90000153,22,33,49,33
21112,54.45999908,30,94,7,31.33333333
21112,55.61000061,31,94,7,31.33333333
21112,48.88740921,33,94,7,31.33333333
21114,70.12000275,20,20,1,20
21116,69.87000275,15,15,25,15
21117,74.83000183,29,72,21,36
21117,81.16999817,30,72,21,36
21118,70.79000092,37,88,24,29.33333333
21118,65.86000061,37,88,24,29.33333333
21119,47,20,30,63,30
21123,77.70999908,17,17,0,17
21126,76.20999908,20,20,3,20
21127,52.29000092,21,46,43,23
21127,68.40350342,25,46,43,23
21130,53.91999817,23,23,22,23
21132,75.04000092,28,66,0,33
21132,72.86956787,28,66,0,33
21134,73.37000275,23,23,10,23
21137,60.61999893,29,87,18,29
21137,60.70999908,30,87,18,29
21137,61.83000183,28,87,18,29
21138,58.18000031,25,25,48,25
21141,73.80999756,16,16,0,16
21144,82.30000305,25,51,1,25.5
21144,77.62999725,26,51,1,25.5
21145,85.26999664,27,82,3,27.33333333
21145,78.86000061,29,82,3,27.33333333
21145,76.00154114,26,82,3,27.33333333
21146,68,24,48,17,24
21146,63.70000076,24,48,17,24
21147,71.41000366,39,124,3,31
21147,68.55999756,38,124,3,31
21147,73.41999817,37,124,3,31
21148,48.70000076,22,42,38,21
21148,47.26315689,20,42,38,21
21149,54.34999847,31,92,20,30.66666667
21149,55.65999985,30,92,20,30.66666667
21149,62.63999939,31,92,20,30.66666667
21151,70.44000244,40,120,4,40
21151,68.91999817,40,120,4,40
21151,72.75,40,120,4,40
21153,62,24,24,30,24
21160,62.16999817,27,41,24,20.5
21160,43.25999832,27,41,24,20.5
21162,60.13000107,40,52,22,26
21163,53.79000092,26,26,20,26
21166,67.61000061,24,23,2,23
21168,73.33000183,21,43,0,21.5
21168,72.7171402,22,43,0,21.5
21171,78.52999878,23,23,0,23
21173,63.97000122,34,34,4,34
21175,64.5,22,42,0,21
21175,59.8571434,20,42,0,21
21176,63.90999985,12,12,3,12
21178,57.70999908,27,48,21,24
21178,64.15840149,21,48,21,24
21179,65.87000275,34,113,23,37.66666667
21179,58.75,32,113,23,37.66666667
21179,64.43000031,32,113,23,37.66666667
21181,69.30999756,37,83,15,27.66666667
21181,64.61000061,34,83,15,27.66666667
21182,55.61999893,25,54,5,27
21182,52.76117706,29,54,5,27
21184,71.68000031,23,46,33,23
21184,77.20999908,23,46,33,23
21185,57.11000061,19,38,35,38
21185,60.88999939,19,38,35,38
21190,56.58000183,32,72,30,36
21190,65.66000366,32,72,30,36
21191,71.86000061,40,128,11,32
21191,72.02999878,40,128,11,32
21191,69.44999695,39,128,11,32
21192,58,36,81,20,27
21192,51.11000061,36,81,20,27
21194,57.33000183,29,86,28,28.66666667
21194,61.06000137,29,86,28,28.66666667
21194,81.2460022,28,86,28,28.66666667
21195,55.04000092,21,48,71,24
21195,41.95999908,27,48,71,24
21196,44.79999924,20,41,76,20.5
21196,39.05263138,21,41,76,20.5
21200,81.5,24,24,5,24
21201,60.08000183,14,27,49,27
21201,47.5,13,27,49,27
21203,69.47000122,27,56,8,28
21203,65.84999847,29,56,8,28
21204,65.11000061,27,27,41,27
21205,68.66999817,36,75,21,37.5
21205,63.91999817,39,75,21,37.5
21206,62.79000092,35,35,32,35
21208,60.29999924,27,60,40,30
21208,64.58999634,33,60,40,30
21209,62.38000107,38,75,41,37.5
21209,74.83000183,37,75,41,37.5
21210,69.37999725,33,66,46,33
21210,67.87000275,33,66,46,33
21211,66.43000031,22,22,56,22
21212,66.40000153,28,56,44,28
21212,67.93000031,28,56,44,28
21213,72.33000183,22,22,0,22
21214,71,34,34,4,34
21215,70.66999817,21,41,3,20.5
21215,72,20,41,3,20.5
21221,67.33000183,25,52,6,26
21221,75.16999817,27,52,6,26
21227,60.52000046,32,109,4,36.33333333
21227,49.58000183,31,109,4,36.33333333
21227,59.99285889,31,109,4,36.33333333
21229,50.16999817,12,12,5,12
21235,44,25,25,35,25
21236,63,24,44,35,22
21236,62.93999863,20,44,35,22
21241,65.90000153,22,43,2,21.5
21241,72.09999847,21,43,2,21.5
21258,51.09999847,20,20,63,20
21265,64.34999847,32,58,34,29
21265,68.91999817,26,58,34,29
21268,63.81999969,28,99,38,33
21268,50.59000015,28,99,38,33
21273,56,23,34,33,34
21275,59.90000153,21,21,11,21
21276,58.43000031,23,23,59,23
21277,53.56999969,29,59,11,29.5
21277,46.17499924,30,59,11,29.5
21279,69.41999817,26,50,34,25
21279,64.16000366,24,50,34,25
21280,69,17,17,7,17
21281,71.05999756,27,48,43,24
21281,74.91999817,21,48,43,24
21282,67.62999725,27,65,31,32.5
21282,58.53535843,27,65,31,32.5
21285,56.18999863,24,24,45,24
21293,68.59999847,25,50,27,25
21293,67.44444275,25,50,27,25
21307,67.62999725,40,86,10,28.66666667
21307,68.47000122,40,86,10,28.66666667
21310,72.73000336,26,64,44,32
21310,53.89157867,26,64,44,32
21312,64,36,70,10,35
21312,53.77000046,34,70,10,35
21313,61.72000122,23,45,3,22.5
21313,67.16999817,22,45,3,22.5
21315,65.49541473,27,74,8,37
21316,58,11,33,24,33
21316,49.90000153,22,33,24,33
21322,67.23999786,33,100,24,33.33333333
21322,71.30999756,33,100,24,33.33333333
21322,73.79000092,34,100,24,33.33333333
21323,74.08000183,25,48,4,24
21323,65.10399628,23,48,4,24
21327,75.90000153,23,45,1,22.5
21327,70.44999695,22,45,1,22.5
21328,59.91999817,40,80,12,40
21328,64.13473511,40,80,12,40
21330,49.36999893,37,74,6,37
21330,50.91999817,37,74,6,37
21331,65.02999878,31,57,19,28.5
21331,58.38000107,26,57,19,28.5
21338,64.84999847,38,89,5,29.66666667
21338,57.04868317,40,89,5,29.66666667
21340,64.86000061,30,60,30,30
21340,50.54000092,30,60,30,30
21341,67.37000275,40,120,0,40
21341,64.08999634,40,120,0,40
21341,67.41000366,40,120,0,40
21350,68.83000183,30,74,32,37
21350,60.72807693,28,74,32,37
21351,71.66999817,21,43,0,21.5
21351,77.22000122,22,43,0,21.5
21356,69.25,29,58,28,29
21356,60.45999908,29,58,28,29
21357,69.05000305,19,19,0,19
21359,54.04999924,21,43,10,21.5
21359,59.54772568,22,43,10,21.5
21361,53.61999893,39,105,2,35
21361,58.09999847,33,105,2,35
21361,53.51793289,33,105,2,35
21362,61.88999939,31,62,13,31
21362,72.41999817,31,62,13,31
21363,71.44999695,38,149,9,37.25
21363,55.79000092,28,149,9,37.25
21363,59.59999847,35,149,9,37.25
21363,68.23999786,38,149,9,37.25
21366,74.44999695,32,133,1,33.25
21366,74.70999908,34,133,1,33.25
21366,72.08999634,33,133,1,33.25
21366,74.12000275,34,133,1,33.25
21367,62.18999863,32,131,3,32.75
21367,67.81999969,34,131,3,32.75
21367,59.59000015,33,131,3,32.75
21367,67.09434509,32,131,3,32.75
21370,66.94000244,34,68,9,34
21370,74.55999756,34,68,9,34
21371,66.05999756,39,79,3,39.5
21371,79.30000305,40,79,3,39.5
21373,81.59999847,25,50,1,25
21373,78.81999969,25,50,1,25
21374,83.29000092,24,47,0,23.5
21374,84.68000031,23,47,0,23.5
21375,54.50999832,39,78,11,39
21375,54.08000183,39,78,11,39
21379,68.83000183,35,70,12,35
21379,69.76000214,35,70,12,35
31001,63.04000092,30,72,31,36
31001,63.06999969,28,72,31,36
31002,73.26000214,23,60,41,30
31002,67.33000183,29,60,41,30
31007,79.94999695,22,62,7,31
31007,69.91000366,22,62,7,31
31008,61.84999847,18,18,42,18
31012,55,19,19,4,19
31017,65.97000122,33,95,12,31.66666667
31017,65.69000244,30,95,12,31.66666667
31017,65.62999725,32,95,12,31.66666667
31019,69.19999695,20,20,32,20
31021,45.20000076,31,74,32,37
31021,54.13000107,31,74,32,37
31022,60.97000122,40,134,7,33.5
31022,65.05000305,41,134,7,33.5
31022,60.52999878,40,134,7,33.5
31023,69.59999847,36,145,5,36.25
31023,83.30000305,37,145,5,36.25
31023,53.66999817,36,145,5,36.25
31023,66.29000092,36,145,5,36.25
31025,68.20999908,27,71,17,35.5
31025,63.43999863,32,71,17,35.5
31026,57.47000122,35,48,30,24
31027,77.70999908,35,87,10,29
31027,72.93000031,37,87,10,29
31028,55.43000031,23,61,13,30.5
31028,52.38000107,25,61,13,30.5
31029,63.75999832,17,17,58,17
31030,63.29000092,23,45,31,22.5
31030,58.15000153,22,45,31,22.5
31031,68.12000275,20,44,41,22
31031,74.26399994,24,44,41,22
31033,46.70000076,26,26,41,26
31034,78.37999725,14,14,36,14
31035,68.43000031,35,59,26,29.5
31035,63.29999924,34,59,26,29.5
31037,79.69000244,40,158,1,39.5
31037,79.55000305,40,158,1,39.5
31037,79.51000214,40,158,1,39.5
31037,85.56388855,38,158,1,39.5
31038,69.91000366,33,112,1,37.33333333
31038,81.05999756,32,112,1,37.33333333
31038,70.47930908,30,112,1,37.33333333
31039,77.05000305,39,153,3,38.25
31039,80.73999786,38,153,3,38.25
31039,74.18000031,38,153,3,38.25
31039,80.30527496,38,153,3,38.25
31040,80.36000061,40,44,4,22
31045,72.48999786,35,84,8,28
31045,67.18000031,37,84,8,28
31046,61.09999847,32,42,10,21
31047,74.94000244,35,171,3,34.2
31047,65.73000336,34,171,3,34.2
31047,67.61000061,35,171,3,34.2
31047,93.93000031,27,171,3,34.2
31048,58.04000092,20,55,11,27.5
31048,71.94999695,12,55,11,27.5
31049,86.76999664,27,59,2,29.5
31049,81.81757355,32,59,2,29.5
31052,85.06999969,28,85,2,28.33333333
31052,85.51999664,29,85,2,28.33333333
31052,85.23999786,28,85,2,28.33333333
31055,78.02999878,37,71,3,35.5
31055,75.79000092,34,71,3,35.5
31056,67.59999847,33,90,4,30
31056,70.40000153,36,90,4,30
31060,62.25,29,78,13,39
31060,57.40999985,29,78,13,39
31062,67.94000244,34,154,5,38.5
31062,74.54000092,37,154,5,38.5
31062,69.20999908,35,154,5,38.5
31062,77.34999847,38,154,5,38.5
31063,68.61000061,21,41,6,20.5
31063,69.26999664,20,41,6,20.5
31067,60.84000015,26,71,17,35.5
31067,63.36999893,22,71,17,35.5
31068,64.05000305,24,48,15,24
31068,66.43000031,24,48,15,24
31069,62.5,24,69,6,34.5
31069,60.27999878,26,69,6,34.5
31070,70.23999786,37,47,11,23.5
31073,62.20000076,26,26,16,26
31075,85.19000244,37,80,6,40
31075,86.80999756,34,80,6,40
31077,74.36000061,26,77,13,38.5
31077,71.22000122,26,77,13,38.5
31078,82.12000275,39,90,4,30
31078,75.67871094,37,90,4,30
31079,70.13999939,20,79,12,39.5
31079,73.05000305,20,79,12,39.5
31079,59.09718704,32,79,12,39.5
31083,69.94000244,22,22,38,22
31084,80.09999847,33,64,8,32
31084,72.69000244,31,64,8,32
31085,52.11000061,23,23,28,23
31086,47.18000031,9,9,51,9
31087,76.45999908,33,66,5,33
31087,75.49687195,33,66,5,33
31089,63.90999985,26,52,15,26
31089,70.04000092,26,52,15,26
31090,67.04000092,29,116,17,38.66666667
31090,66.12000275,26,116,17,38.66666667
31090,68.11000061,28,116,17,38.66666667
31090,70.86000061,22,116,17,38.66666667
31092,58.58000183,16,16,23,16
31095,83.47000122,22,22,0,22
31097,58.18000031,40,118,10,39.33333333
31097,59.04999924,40,118,10,39.33333333
31097,59.8102684,38,118,10,39.33333333
31098,63.47999954,24,57,16,28.5
31098,67.41999817,9,57,16,28.5
31099,64.87999725,27,27,20,27
31100,69.15000153,34,144,10,36
31100,64.22000122,30,144,10,36
31100,54.52000046,35,144,10,36
31100,60.09633255,35,144,10,36
31101,57.18000031,40,40,50,40
31102,72,22,102,14,34
31102,73.90000153,22,102,14,34
31102,77.30000305,21,102,14,34
31102,74.48000336,22,102,14,34
31103,72.31999969,19,19,2,19
31107,64.43000031,31,63,7,31.5
31107,61.40999985,32,63,7,31.5
31108,77,21,21,28,21
31109,64.97000122,38,89,2,29.66666667
31109,69.26999664,37,89,2,29.66666667
31114,67,20,20,1,20
31115,62.52999878,17,17,0,17
31116,74.66999817,33,33,0,33
31120,66,16,16,11,16
31121,76.36000061,24,56,13,28
31121,60.13000107,20,56,13,28
31122,80.66999817,33,52,9,26
31122,73.03639984,33,52,9,26
31125,75.97000122,35,35,17,35
31129,61,21,43,2,21.5
31129,59.93999863,22,43,2,21.5
31130,68,20,20,2,20
31132,67,20,20,18,20
31133,65.79000092,40,40,19,40
31134,44.68999863,14,14,46,14
31135,66.95999908,29,100,6,33.33333333
31135,58.15999985,29,100,6,33.33333333
31135,57.11999893,32,100,6,33.33333333
31136,67.33000183,23,56,21,28
31136,68.61174011,23,56,21,28
31139,64.80999756,30,63,22,31.5
31139,60.65999985,33,63,22,31.5
31141,44,20,20,60,20
31143,73.87999725,36,112,4,37.33333333
31143,69.48000336,34,112,4,37.33333333
31143,73.44000244,32,112,4,37.33333333
31145,71.13999939,35,127,2,31.75
31145,78.12999725,36,127,2,31.75
31145,74.26000214,32,127,2,31.75
31148,60.31999969,34,92,14,30.66666667
31148,55.59000015,29,92,14,30.66666667
31148,60.15999985,29,92,14,30.66666667
31151,70,29,29,9,29
31152,74.27999878,26,51,5,25.5
31152,74.19999695,25,51,5,25.5
31153,77.68000031,28,99,2,33
31153,81.26000214,32,99,2,33
31153,76.22000122,28,99,2,33
31154,72.19999695,10,10,40,10
31156,68.86000061,36,117,6,39
31156,63.84000015,33,117,6,39
31156,62.25999832,30,117,6,39
31157,70.58999634,29,81,17,27
31157,67.41000366,30,81,17,27
31159,73,21,49,57,24.5
31160,54.18000031,30,95,5,31.66666667
31160,71.02999878,33,95,5,31.66666667
31160,62.1313324,32,95,5,31.66666667
31161,75.91999817,28,92,5,30.66666667
31161,77.86000061,30,92,5,30.66666667
31161,74.43499756,34,92,5,30.66666667
31162,72.31999969,34,69,13,34.5
31162,78.94000244,35,69,13,34.5
31164,76,25,25,15,25
31165,69.69999695,20,20,43,20
31167,81.26999664,14,14,4,14
31168,81.81999969,11,11,0,11
31188,61.06000137,34,127,15,31.75
31188,53.81000137,34,127,15,31.75
31188,62.29000092,35,127,15,31.75
31189,64.36000061,35,113,7,37.66666667
31189,63.31999969,30,113,7,37.66666667
31189,57.11999893,28,113,7,37.66666667
31207,52,31,44,9,22
31208,80,29,92,2,30.66666667
31208,68.19999695,30,92,2,30.66666667
31208,75,33,92,2,30.66666667
31209,77.48000336,38,92,8,30.66666667
31209,73.03058624,38,92,8,30.66666667
31210,80.52999878,40,78,3,39
31210,81.33000183,38,78,3,39
31212,56,29,29,44,29
31213,79.58000183,27,70,20,35
31213,79.13999939,29,70,20,35
31214,81,25,35,4,35
31216,77.91999817,38,150,6,37.5
31216,70.43000031,30,150,6,37.5
31216,74,33,150,6,37.5
31216,76.8118515,34,150,6,37.5
31217,47.72999954,34,116,26,38.66666667
31217,55.52999878,35,116,26,38.66666667
31217,59.27785873,34,116,26,38.66666667
31219,31.45000076,19,47,40,23.5
31219,47,19,47,40,23.5
31220,67.70999908,38,121,11,30.25
31220,75.97000122,38,121,11,30.25
31220,59.64777756,36,121,11,30.25
31222,63.88000107,21,42,44,21
31222,62.22000122,21,42,44,21
31224,48.56999969,22,22,50,22
31232,60.81999969,12,24,6,24
31235,75.04000092,31,100,3,33.33333333
31235,80.06999969,14,100,3,33.33333333
31235,75.96655273,28,100,3,33.33333333
31237,87.05000305,27,48,2,24
31237,77.25,21,48,2,24
31238,71.90000153,29,59,6,29.5
31238,68.55000305,30,59,6,29.5
31239,67.48000336,33,66,6,33
31239,70.47250366,33,66,6,33
31242,69.20999908,38,89,10,29.66666667
31242,62.74000168,39,89,10,29.66666667
31243,81,39,113,0,37.66666667
31243,77.26000214,36,113,0,37.66666667
31243,70.08999634,38,113,0,37.66666667
31250,63.25999832,38,117,7,39
31250,67.15000153,40,117,7,39
31250,55.84000015,39,117,7,39
31252,74.88999939,37,150,4,37.5
31252,72.86000061,37,150,4,37.5
31252,79.99710846,37,150,4,37.5
31253,61.45000076,26,59,23,29.5
31253,53.13043594,24,59,23,29.5
31255,58.79000092,21,21,46,21
31256,78,30,60,5,30
31256,79.40000153,30,60,5,30
31257,66.76999664,37,121,7,30.25
31257,86.41000366,36,121,7,30.25
31257,84.41999817,35,121,7,30.25
31259,56,24,43,31,21.5
31260,44,15,34,30,34
31261,64.62999725,38,130,6,32.5
31261,70.5,38,130,6,32.5
31261,69.58583069,37,130,6,32.5
31262,77.58999634,24,45,10,22.5
31262,65.31999969,21,45,10,22.5
31265,75.54000092,27,41,5,20.5
41001,80.88999939,23,36,8,36
41002,67.15000153,35,130,3,32.5
41002,74.20999908,37,130,3,32.5
41002,65.73600006,38,130,3,32.5
41003,68.87999725,21,41,31,20.5
41003,64.76999664,20,41,31,20.5
41006,68.12999725,15,15,19,15
41009,81.06999969,24,58,10,29
41009,74.86000061,24,58,10,29
41010,71.62000275,23,45,10,22.5
41010,54.77182007,22,45,10,22.5
41012,58.15999985,29,29,33,29
41016,52.81999969,11,11,28,11
41017,65.06999969,29,29,30,29
41018,72.80999756,30,30,1,30
41019,78.69999695,27,27,5,27
41020,71.23000336,35,134,2,33.5
41020,79.68000031,33,134,2,33.5
41020,62.86000061,31,134,2,33.5
41020,69.53666687,35,134,2,33.5
41023,78.65000153,24,51,11,25.5
41023,71.77115631,27,51,11,25.5
41024,62.68999863,20,43,11,21.5
41024,60.52000046,23,43,11,21.5
41025,70.16999817,25,52,11,26
41025,69.84889221,27,52,11,26
41029,62.83000183,30,89,0,29.66666667
41029,66.15000153,29,89,0,29.66666667
41029,67.95999908,30,89,0,29.66666667
41030,57.93999863,19,19,0,19
41032,80.04000092,34,107,12,35.66666667
41032,73.79000092,34,107,12,35.66666667
41032,79.568573,31,107,12,35.66666667
41034,71.58999634,33,73,12,36.5
41034,75.95999908,29,73,12,36.5
41035,62.70000076,21,41,21,20.5
41035,61.36363602,20,41,21,20.5
41037,66.31999969,20,58,18,29
41037,60.43000031,22,58,18,29
41039,58,32,32,24,32
41040,67.94000244,32,73,6,36.5
41040,76.97000122,31,73,6,36.5
41041,73.13999939,21,21,9,21
41045,61.61000061,31,96,10,32
41045,74.87999725,34,96,10,32
41045,68.26999664,31,96,10,32
41046,78,19,19,6,19
41058,69.56999969,22,42,16,21
41058,65.11000061,20,42,16,21
41059,72.05999756,16,16,40,16
41060,69.55999756,29,92,10,30.66666667
41060,66.91000366,32,92,10,30.66666667
41060,61.68137741,31,92,10,30.66666667
