y0t,y1t,y0,y1,y3,x1,t1
35,140,35,NA,35,65,0
55,165,55,NA,55,87,0
53,180,NA,180,180,101,1
40,144,40,NA,40,67,0
56,166,56,NA,56,88,0
64,162,64,NA,64,88,0
53,157,53,NA,53,83,0
54,142,54,NA,54,70,0
51,153,51,NA,51,79,0
46,147,46,NA,46,77,0
36,171,NA,171,171,86,1
37,152,NA,152,152,76,1
52,163,NA,163,163,90,1
51,155,51,NA,51,76,0
52,172,NA,172,172,91,1
46,143,46,NA,46,70,0
33,143,33,NA,33,67,0
65,188,NA,188,188,112,1
47,150,47,NA,47,76,0
47,153,47,NA,47,83,0
52,155,52,NA,52,86,0
40,148,NA,148,148,75,1
54,163,NA,163,163,85,1
50,154,NA,154,154,84,1
46,152,46,NA,46,78,0
35,144,NA,144,144,81,1
43,153,43,NA,43,80,0
50,189,50,NA,50,101,0
33,140,NA,140,140,73,1
38,134,38,NA,38,69,0
47,154,47,NA,47,80,0
52,163,NA,163,163,83,1
58,169,58,NA,58,84,0
48,169,NA,169,169,75,1
48,148,NA,148,148,69,1
52,176,52,NA,52,93,0
44,167,44,NA,44,77,0
50,143,50,NA,50,71,0
47,152,47,NA,47,78,0
35,155,35,NA,35,78,0
49,159,NA,159,159,91,1
56,144,NA,144,144,81,1
49,178,49,NA,49,88,0
47,146,47,NA,47,75,0
49,155,49,NA,49,82,0
43,145,43,NA,43,77,0
46,158,NA,158,158,81,1
45,149,NA,149,149,71,1
42,139,NA,139,139,67,1
69,180,69,NA,69,100,0
50,170,NA,170,170,86,1
34,140,34,NA,34,67,0
46,145,46,NA,46,74,0
46,141,46,NA,46,68,0
77,177,NA,177,177,102,1
53,172,53,NA,53,93,0
44,146,NA,146,146,77,1
57,172,NA,172,172,85,1
55,134,55,NA,55,76,0
40,153,40,NA,40,75,0
48,143,48,NA,48,72,0
40,163,40,NA,40,74,0
51,175,NA,175,175,97,1
52,158,52,NA,52,79,0
49,160,NA,160,160,81,1
52,160,NA,160,160,82,1
51,174,51,NA,51,92,0
58,164,58,NA,58,75,0
47,150,47,NA,47,70,0
56,178,NA,178,178,97,1
51,164,51,NA,51,76,0
35,152,35,NA,35,73,0
40,146,40,NA,40,68,0
50,149,50,NA,50,67,0
43,150,43,NA,43,74,0
58,168,NA,168,168,86,1
53,167,53,NA,53,91,0
36,165,36,NA,36,87,0
39,151,NA,151,151,76,1
50,153,50,NA,50,81,0
54,162,54,NA,54,73,0
40,144,40,NA,40,73,0
55,164,NA,164,164,89,1
35,153,35,NA,35,70,0
53,180,NA,180,180,100,1
42,163,NA,163,163,79,1
59,154,NA,154,154,82,1
50,148,50,NA,50,73,0
49,147,49,NA,49,74,0
48,134,48,NA,48,67,0
44,151,NA,151,151,78,1
56,156,56,NA,56,84,0
51,166,51,NA,51,83,0
36,144,NA,144,144,72,1
37,146,37,NA,37,72,0
45,144,45,NA,45,75,0
58,176,58,NA,58,95,0
39,132,NA,132,132,69,1
40,133,NA,133,133,78,1
45,192,45,NA,45,99,0
50,160,50,NA,50,79,0
38,144,NA,144,144,66,1
48,132,48,NA,48,73,0
40,167,40,NA,40,85,0
37,155,NA,155,155,76,1
44,148,NA,148,148,74,1
36,158,36,NA,36,77,0
35,165,NA,165,165,81,1
63,174,63,NA,63,96,0
54,168,54,NA,54,79,0
47,176,NA,176,176,91,1
50,172,50,NA,50,86,0
39,153,39,NA,39,79,0
41,137,NA,137,137,65,1
45,144,45,NA,45,75,0
39,153,NA,153,153,75,1
43,158,43,NA,43,80,0
48,172,48,NA,48,93,0
65,179,NA,179,179,103,1
61,172,61,NA,61,95,0
50,169,50,NA,50,79,0
31,128,NA,128,128,62,1
33,148,33,NA,33,76,0
52,147,NA,147,147,81,1
52,157,NA,157,157,88,1
54,166,NA,166,166,90,1
59,162,59,NA,59,87,0
33,135,33,NA,33,66,0
61,160,61,NA,61,88,0
43,150,NA,150,150,76,1
44,166,NA,166,166,82,1
47,155,NA,155,155,81,1
53,152,53,NA,53,84,0
47,149,47,NA,47,80,0
31,122,31,NA,31,63,0
50,152,NA,152,152,87,1
33,156,NA,156,156,84,1
43,146,43,NA,43,77,0
52,149,52,NA,52,81,0
47,171,NA,171,171,81,1
54,171,54,NA,54,82,0
61,193,NA,193,193,96,1
51,159,51,NA,51,78,0
54,157,NA,157,157,82,1
43,163,NA,163,163,92,1
55,161,NA,161,161,91,1
66,166,NA,166,166,91,1
41,158,41,NA,41,74,0
63,185,NA,185,185,100,1
50,163,NA,163,163,81,1
63,177,63,NA,63,99,0
38,128,NA,128,128,66,1
43,158,43,NA,43,80,0
56,169,56,NA,56,92,0
45,145,45,NA,45,73,0
42,162,NA,162,162,72,1
43,151,43,NA,43,71,0
44,141,44,NA,44,69,0
40,138,40,NA,40,76,0
58,158,58,NA,58,83,0
51,139,51,NA,51,60,0
60,161,60,NA,60,82,0
52,172,NA,172,172,92,1
47,187,47,NA,47,100,0
56,170,NA,170,170,93,1
59,163,59,NA,59,88,0
43,134,43,NA,43,63,0
36,154,36,NA,36,74,0
38,149,38,NA,38,76,0
53,170,NA,170,170,87,1
52,146,52,NA,52,79,0
46,132,46,NA,46,67,0
64,177,NA,177,177,97,1
47,172,47,NA,47,89,0
40,156,40,NA,40,82,0
41,166,NA,166,166,92,1
44,121,44,NA,44,67,0
58,167,NA,167,167,87,1
47,144,47,NA,47,75,0
45,167,45,NA,45,87,0
58,165,58,NA,58,79,0
49,160,49,NA,49,86,0
68,176,NA,176,176,93,1
52,155,52,NA,52,80,0
62,171,NA,171,171,90,1
43,134,43,NA,43,68,0
43,151,43,NA,43,73,0
50,183,50,NA,50,95,0
46,173,46,NA,46,84,0
35,122,35,NA,35,59,0
42,143,42,NA,42,66,0
47,150,NA,150,150,78,1
52,170,52,NA,52,89,0
49,154,NA,154,154,79,1
48,161,NA,161,161,86,1
50,173,50,NA,50,90,0
48,182,48,NA,48,97,0
55,159,NA,159,159,81,1
48,158,48,NA,48,79,0
37,137,37,NA,37,62,0
43,159,NA,159,159,81,1
43,149,43,NA,43,74,0
34,150,34,NA,34,70,0
39,159,39,NA,39,78,0
41,174,41,NA,41,90,0
43,140,NA,140,140,60,1
46,155,46,NA,46,76,0
41,156,NA,156,156,81,1
51,138,51,NA,51,71,0
54,156,54,NA,54,83,0
56,155,NA,155,155,84,1
46,154,46,NA,46,80,0
30,122,30,NA,30,55,0
63,186,63,NA,63,106,0
50,146,50,NA,50,78,0
58,160,NA,160,160,87,1
61,162,61,NA,61,83,0
50,169,50,NA,50,90,0
46,163,NA,163,163,88,1
48,161,48,NA,48,78,0
72,149,72,NA,72,84,0
40,149,40,NA,40,71,0
61,178,NA,178,178,89,1
43,147,43,NA,43,75,0
59,188,59,NA,59,104,0
33,132,33,NA,33,63,0
44,150,44,NA,44,75,0
64,171,64,NA,64,88,0
53,156,NA,156,156,85,1
48,145,48,NA,48,74,0
48,148,NA,148,148,70,1
63,160,63,NA,63,81,0
53,162,53,NA,53,80,0
27,143,NA,143,143,62,1
41,161,41,NA,41,80,0
38,151,NA,151,151,82,1
29,159,NA,159,159,82,1
50,140,50,NA,50,69,0
48,162,NA,162,162,85,1
59,179,NA,179,179,94,1
59,164,59,NA,59,85,0
38,144,NA,144,144,69,1
45,150,45,NA,45,76,0
52,162,52,NA,52,83,0
46,141,46,NA,46,74,0
29,127,29,NA,29,58,0
59,178,NA,178,178,89,1
47,151,47,NA,47,72,0
42,142,NA,142,142,74,1
48,165,48,NA,48,95,0
48,140,48,NA,48,72,0
63,170,63,NA,63,88,0
50,143,50,NA,50,67,0
52,147,NA,147,147,76,1
44,152,44,NA,44,79,0
37,148,37,NA,37,68,0
40,147,40,NA,40,74,0
45,156,NA,156,156,80,1
57,167,NA,167,167,87,1
40,134,40,NA,40,63,0
33,147,33,NA,33,77,0
40,163,NA,163,163,88,1
45,142,45,NA,45,75,0
50,162,NA,162,162,82,1
35,171,NA,171,171,85,1
44,161,44,NA,44,83,0
52,170,NA,170,170,87,1
58,150,58,NA,58,79,0
32,150,NA,150,150,76,1
24,124,24,NA,24,54,0
40,145,40,NA,40,79,0
52,161,NA,161,161,84,1
53,165,53,NA,53,85,0
42,154,42,NA,42,74,0
48,187,NA,187,187,98,1
45,149,45,NA,45,83,0
45,162,45,NA,45,81,0
54,177,54,NA,54,93,0
55,146,55,NA,55,73,0
40,154,40,NA,40,75,0
63,175,63,NA,63,104,0
43,158,NA,158,158,80,1
49,153,49,NA,49,96,0
44,141,NA,141,141,66,1
39,165,NA,165,165,78,1
70,172,NA,172,172,84,1
50,141,NA,141,141,83,1
42,148,42,NA,42,70,0
48,154,48,NA,48,80,0
54,143,54,NA,54,69,0
57,149,57,NA,57,87,0
53,172,53,NA,53,91,0
27,126,27,NA,27,58,0
48,173,NA,173,173,92,1
35,140,35,NA,35,68,0
60,155,60,NA,60,85,0
51,167,51,NA,51,87,0
41,158,41,NA,41,78,0
50,149,50,NA,50,74,0
59,162,NA,162,162,82,1
46,158,NA,158,158,84,1
50,176,NA,176,176,89,1
38,128,38,NA,38,59,0
38,133,38,NA,38,64,0
59,180,NA,180,180,94,1
66,176,NA,176,176,90,1
50,166,NA,166,166,84,1
50,166,NA,166,166,87,1
57,178,NA,178,178,89,1
31,117,NA,117,117,53,1
59,177,NA,177,177,91,1
43,162,43,NA,43,75,0
52,159,52,NA,52,82,0
35,157,35,NA,35,77,0
53,171,53,NA,53,89,0
43,161,43,NA,43,77,0
43,156,NA,156,156,85,1
43,157,43,NA,43,76,0
44,131,44,NA,44,69,0
56,185,56,NA,56,92,0
57,160,57,NA,57,87,0
65,174,NA,174,174,97,1
54,159,NA,159,159,81,1
52,160,NA,160,160,91,1
51,178,NA,178,178,100,1
44,153,44,NA,44,77,0
48,138,48,NA,48,67,0
46,168,46,NA,46,78,0
35,141,35,NA,35,78,0
53,158,53,NA,53,82,0
60,185,NA,185,185,97,1
43,147,43,NA,43,77,0
52,160,52,NA,52,84,0
56,167,56,NA,56,78,0
57,143,57,NA,57,80,0
47,154,47,NA,47,83,0
56,163,NA,163,163,93,1
38,162,NA,162,162,81,1
47,158,NA,158,158,87,1
67,169,NA,169,169,88,1
64,162,64,NA,64,89,0
43,148,43,NA,43,74,0
53,181,53,NA,53,96,0
36,152,36,NA,36,76,0
62,141,62,NA,62,79,0
57,169,NA,169,169,94,1
52,177,NA,177,177,93,1
49,156,NA,156,156,69,1
35,137,35,NA,35,71,0
45,138,NA,138,138,66,1
59,158,59,NA,59,82,0
48,153,48,NA,48,82,0
61,151,61,NA,61,84,0
56,176,NA,176,176,86,1
40,159,NA,159,159,74,1
46,134,46,NA,46,70,0
49,155,49,NA,49,90,0
49,164,NA,164,164,88,1
44,141,44,NA,44,65,0
44,154,44,NA,44,79,0
42,153,42,NA,42,71,0
43,129,NA,129,129,59,1
41,150,41,NA,41,82,0
59,165,59,NA,59,79,0
62,153,62,NA,62,79,0
54,156,NA,156,156,82,1
56,165,56,NA,56,89,0
46,159,NA,159,159,82,1
48,133,48,NA,48,74,0
40,152,40,NA,40,73,0
49,160,49,NA,49,79,0
45,164,NA,164,164,83,1
48,141,48,NA,48,70,0
52,154,52,NA,52,78,0
63,158,NA,158,158,90,1
61,157,61,NA,61,79,0
39,142,NA,142,142,73,1
53,162,53,NA,53,77,0
45,163,NA,163,163,91,1
48,149,NA,149,149,86,1
62,172,NA,172,172,92,1
43,146,43,NA,43,81,0
53,154,53,NA,53,84,0
38,154,NA,154,154,74,1
49,176,NA,176,176,86,1
45,148,45,NA,45,75,0
35,146,35,NA,35,66,0
35,148,35,NA,35,81,0
61,191,61,NA,61,99,0
56,166,NA,166,166,88,1
56,165,56,NA,56,92,0
47,164,NA,164,164,84,1
51,143,NA,143,143,74,1
54,154,NA,154,154,78,1
30,153,NA,153,153,77,1
53,158,53,NA,53,75,0
40,160,NA,160,160,87,1
38,139,NA,139,139,68,1
46,168,46,NA,46,89,0
49,173,49,NA,49,89,0
50,155,50,NA,50,68,0
55,174,55,NA,55,86,0
66,192,NA,192,192,104,1
30,135,30,NA,30,74,0
54,172,54,NA,54,88,0
48,152,48,NA,48,72,0
61,164,61,NA,61,91,0
42,154,42,NA,42,82,0
65,167,NA,167,167,97,1
29,138,29,NA,29,65,0
60,155,60,NA,60,79,0
39,138,39,NA,39,75,0
52,143,52,NA,52,78,0
47,150,47,NA,47,74,0
36,139,36,NA,36,72,0
60,161,NA,161,161,86,1
42,150,42,NA,42,69,0
63,171,63,NA,63,95,0
42,142,42,NA,42,68,0
55,162,55,NA,55,81,0
51,154,NA,154,154,85,1
59,172,59,NA,59,86,0
44,159,44,NA,44,77,0
52,166,52,NA,52,81,0
57,165,57,NA,57,90,0
45,128,45,NA,45,65,0
39,150,39,NA,39,72,0
51,164,51,NA,51,83,0
42,169,42,NA,42,76,0
63,185,63,NA,63,94,0
48,161,NA,161,161,87,1
61,150,NA,150,150,81,1
45,142,45,NA,45,65,0
48,170,NA,170,170,80,1
55,144,55,NA,55,77,0
47,149,47,NA,47,79,0
45,154,NA,154,154,68,1
55,175,55,NA,55,85,0
45,145,45,NA,45,70,0
43,142,43,NA,43,78,0
42,157,NA,157,157,84,1
31,155,NA,155,155,72,1
48,178,48,NA,48,86,0
45,140,45,NA,45,67,0
30,118,30,NA,30,52,0
43,164,43,NA,43,85,0
68,167,68,NA,68,88,0
51,146,51,NA,51,77,0
65,166,NA,166,166,85,1
49,151,NA,151,151,68,1
43,155,43,NA,43,79,0
34,138,NA,138,138,61,1
45,172,NA,172,172,92,1
65,182,65,NA,65,99,0
66,168,NA,168,168,91,1
42,164,42,NA,42,80,0
40,158,40,NA,40,80,0
45,134,NA,134,134,65,1
42,170,NA,170,170,88,1
60,160,60,NA,60,78,0
48,147,48,NA,48,73,0
28,120,28,NA,28,66,0
49,164,49,NA,49,77,0
44,141,44,NA,44,72,0
28,149,28,NA,28,76,0
41,153,41,NA,41,68,0
54,163,54,NA,54,97,0
42,148,42,NA,42,80,0
56,164,NA,164,164,91,1
38,116,38,NA,38,54,0
57,158,57,NA,57,75,0
25,156,25,NA,25,73,0
46,145,46,NA,46,68,0
50,171,50,NA,50,95,0
48,136,NA,136,136,66,1
52,156,52,NA,52,83,0
63,162,NA,162,162,88,1
39,162,NA,162,162,82,1
46,152,NA,152,152,71,1
55,164,55,NA,55,89,0
57,161,NA,161,161,82,1
40,126,40,NA,40,69,0
48,140,48,NA,48,66,0
57,175,NA,175,175,101,1
41,155,41,NA,41,73,0
37,142,37,NA,37,61,0
44,147,NA,147,147,85,1
47,166,47,NA,47,83,0
47,135,47,NA,47,66,0
48,132,48,NA,48,61,0
55,161,NA,161,161,79,1
52,174,NA,174,174,91,1
54,157,54,NA,54,86,0
46,152,46,NA,46,75,0
34,143,34,NA,34,72,0
52,168,NA,168,168,83,1
43,147,43,NA,43,82,0
44,169,NA,169,169,86,1
51,161,NA,161,161,76,1
48,149,48,NA,48,89,0
42,151,NA,151,151,72,1
39,150,39,NA,39,77,0
53,165,53,NA,53,87,0
57,166,57,NA,57,90,0
40,138,NA,138,138,61,1
41,164,NA,164,164,81,1
60,167,NA,167,167,86,1
49,137,49,NA,49,65,0
54,159,54,NA,54,85,0
44,145,44,NA,44,72,0
55,166,NA,166,166,90,1
53,163,53,NA,53,85,0
55,160,55,NA,55,88,0
50,161,50,NA,50,81,0
58,160,58,NA,58,89,0
54,162,54,NA,54,94,0
68,182,NA,182,182,100,1
48,159,48,NA,48,80,0
23,137,23,NA,23,58,0
47,161,47,NA,47,80,0
52,160,NA,160,160,82,1
55,158,55,NA,55,78,0
52,156,NA,156,156,86,1
40,160,40,NA,40,90,0
45,141,45,NA,45,75,0
38,153,38,NA,38,77,0
44,165,NA,165,165,84,1
37,155,37,NA,37,74,0
43,168,43,NA,43,81,0
44,134,44,NA,44,60,0
36,142,36,NA,36,69,0
37,136,NA,136,136,67,1
44,147,44,NA,44,71,0
50,147,50,NA,50,73,0
46,159,46,NA,46,84,0
48,163,48,NA,48,90,0
40,141,NA,141,141,73,1
34,137,NA,137,137,70,1
48,154,48,NA,48,70,0
30,153,30,NA,30,76,0
43,151,43,NA,43,78,0
41,151,41,NA,41,85,0
33,154,33,NA,33,77,0
36,127,NA,127,127,59,1
58,154,58,NA,58,79,0
67,169,NA,169,169,92,1
51,176,NA,176,176,92,1
38,146,38,NA,38,72,0
35,137,35,NA,35,65,0
68,203,NA,203,203,105,1
29,161,29,NA,29,78,0
49,156,NA,156,156,79,1
48,156,NA,156,156,84,1
33,145,NA,145,145,64,1
30,141,30,NA,30,73,0
38,138,38,NA,38,65,0
32,154,32,NA,32,73,0
48,154,NA,154,154,81,1
33,137,33,NA,33,66,0
52,166,52,NA,52,86,0
53,161,NA,161,161,83,1
39,143,NA,143,143,71,1
42,157,42,NA,42,82,0
48,166,NA,166,166,87,1
50,172,NA,172,172,91,1
36,163,36,NA,36,78,0
42,152,42,NA,42,79,0
46,164,46,NA,46,79,0
55,163,55,NA,55,94,0
57,165,NA,165,165,91,1
62,156,62,NA,62,88,0
49,155,49,NA,49,77,0
61,164,NA,164,164,84,1
46,151,46,NA,46,84,0
51,144,NA,144,144,70,1
42,129,42,NA,42,63,0
43,167,NA,167,167,86,1
42,127,NA,127,127,65,1
39,162,NA,162,162,80,1
56,159,56,NA,56,83,0
48,156,NA,156,156,86,1
48,158,NA,158,158,82,1
39,146,39,NA,39,73,0
48,165,NA,165,165,90,1
70,166,70,NA,70,97,0
60,163,60,NA,60,89,0
41,132,NA,132,132,61,1
57,162,NA,162,162,94,1
53,157,NA,157,157,79,1
56,172,56,NA,56,85,0
63,169,63,NA,63,86,0
53,149,NA,149,149,79,1
46,150,46,NA,46,79,0
52,165,NA,165,165,90,1
49,169,49,NA,49,87,0
51,168,NA,168,168,90,1
61,178,61,NA,61,104,0
61,154,NA,154,154,87,1
33,162,33,NA,33,82,0
30,122,NA,122,122,58,1
63,192,NA,192,192,107,1
36,151,36,NA,36,75,0
74,190,74,NA,74,104,0
49,168,NA,168,168,84,1
49,164,49,NA,49,95,0
41,162,41,NA,41,79,0
57,167,57,NA,57,85,0
62,156,NA,156,156,82,1
46,153,46,NA,46,78,0
48,158,48,NA,48,79,0
47,173,47,NA,47,90,0
56,142,NA,142,142,78,1
41,142,41,NA,41,60,0
30,144,30,NA,30,78,0
46,147,NA,147,147,85,1
50,170,50,NA,50,86,0
44,153,NA,153,153,86,1
36,134,36,NA,36,63,0
42,151,42,NA,42,84,0
57,155,57,NA,57,90,0
58,169,NA,169,169,93,1
52,158,52,NA,52,78,0
49,155,49,NA,49,77,0
68,170,NA,170,170,95,1
35,135,35,NA,35,63,0
31,151,31,NA,31,76,0
51,162,51,NA,51,85,0
43,134,43,NA,43,64,0
47,162,NA,162,162,83,1
69,171,69,NA,69,99,0
56,159,NA,159,159,80,1
50,150,50,NA,50,77,0
51,160,NA,160,160,85,1
42,157,42,NA,42,77,0
52,163,NA,163,163,88,1
57,160,NA,160,160,89,1
55,148,55,NA,55,80,0
39,146,NA,146,146,68,1
35,124,NA,124,124,67,1
62,146,62,NA,62,74,0
56,167,NA,167,167,88,1
30,122,30,NA,30,60,0
43,133,NA,133,133,61,1
44,152,NA,152,152,73,1
56,148,NA,148,148,84,1
43,139,43,NA,43,71,0
53,179,NA,179,179,89,1
50,155,50,NA,50,83,0
50,147,NA,147,147,78,1
49,160,49,NA,49,88,0
46,158,NA,158,158,84,1
44,153,44,NA,44,76,0
50,153,50,NA,50,82,0
49,165,NA,165,165,86,1
53,166,53,NA,53,84,0
36,150,36,NA,36,73,0
43,172,NA,172,172,89,1
68,165,NA,165,165,92,1
53,159,NA,159,159,83,1
46,162,46,NA,46,81,0
45,155,45,NA,45,79,0
67,184,NA,184,184,102,1
48,160,NA,160,160,83,1
48,155,NA,155,155,78,1
31,126,NA,126,126,55,1
35,129,35,NA,35,64,0
52,156,52,NA,52,79,0
50,155,NA,155,155,82,1
59,170,NA,170,170,83,1
45,162,45,NA,45,88,0
46,155,46,NA,46,78,0
54,157,NA,157,157,92,1
35,141,35,NA,35,71,0
48,136,48,NA,48,68,0
40,150,40,NA,40,68,0
43,163,43,NA,43,87,0
43,156,43,NA,43,79,0
45,168,45,NA,45,88,0
53,149,53,NA,53,77,0
62,151,62,NA,62,74,0
41,162,NA,162,162,76,1
36,138,36,NA,36,61,0
43,147,43,NA,43,68,0
59,133,59,NA,59,66,0
38,170,38,NA,38,91,0
41,151,41,NA,41,74,0
44,161,44,NA,44,88,0
55,175,NA,175,175,95,1
45,167,45,NA,45,78,0
45,153,45,NA,45,83,0
50,138,NA,138,138,62,1
45,139,45,NA,45,72,0
65,160,65,NA,65,81,0
56,152,56,NA,56,83,0
34,151,34,NA,34,72,0
59,180,NA,180,180,107,1
47,150,NA,150,150,75,1
45,167,NA,167,167,81,1
54,162,NA,162,162,86,1
53,155,53,NA,53,80,0
47,159,47,NA,47,74,0
53,182,NA,182,182,90,1
53,193,NA,193,193,96,1
39,153,39,NA,39,80,0
54,156,54,NA,54,86,0
54,159,54,NA,54,79,0
53,171,53,NA,53,90,0
46,151,46,NA,46,68,0
77,185,77,NA,77,103,0
58,150,58,NA,58,74,0
36,149,36,NA,36,65,0
49,152,NA,152,152,76,1
44,162,NA,162,162,81,1
62,179,62,NA,62,96,0
53,166,NA,166,166,89,1
51,153,51,NA,51,81,0
34,137,34,NA,34,66,0
51,132,51,NA,51,71,0
46,163,46,NA,46,78,0
60,176,60,NA,60,106,0
36,129,36,NA,36,61,0
55,167,55,NA,55,91,0
56,158,56,NA,56,75,0
50,177,50,NA,50,97,0
59,149,59,NA,59,69,0
43,155,43,NA,43,81,0
43,154,43,NA,43,69,0
39,170,NA,170,170,89,1
52,178,52,NA,52,95,0
65,186,NA,186,186,100,1
56,155,NA,155,155,88,1
62,178,62,NA,62,98,0
52,172,NA,172,172,92,1
34,149,NA,149,149,79,1
43,162,43,NA,43,85,0
40,139,40,NA,40,70,0
51,155,NA,155,155,78,1
61,158,61,NA,61,92,0
49,164,49,NA,49,85,0
50,158,NA,158,158,85,1
41,151,41,NA,41,70,0
45,135,45,NA,45,74,0
54,147,54,NA,54,72,0
45,159,NA,159,159,84,1
41,151,41,NA,41,70,0
52,152,NA,152,152,86,1
32,139,32,NA,32,69,0
52,183,NA,183,183,98,1
52,166,NA,166,166,85,1
47,150,47,NA,47,73,0
57,160,NA,160,160,82,1
42,140,42,NA,42,76,0
61,167,61,NA,61,84,0
43,160,NA,160,160,82,1
31,131,NA,131,131,70,1
30,145,30,NA,30,72,0
58,166,58,NA,58,83,0
60,180,NA,180,180,96,1
54,165,NA,165,165,91,1
42,155,42,NA,42,74,0
64,163,NA,163,163,88,1
56,159,56,NA,56,80,0
43,166,43,NA,43,83,0
40,162,40,NA,40,83,0
71,183,NA,183,183,106,1
45,147,45,NA,45,68,0
45,168,45,NA,45,81,0
40,128,40,NA,40,62,0
37,162,37,NA,37,86,0
50,176,50,NA,50,91,0
59,167,NA,167,167,94,1
36,121,36,NA,36,61,0
41,157,41,NA,41,84,0
65,183,65,NA,65,96,0
54,142,54,NA,54,76,0
40,152,40,NA,40,78,0
47,163,NA,163,163,80,1
56,161,NA,161,161,84,1
58,168,NA,168,168,87,1
52,183,NA,183,183,93,1
41,161,41,NA,41,79,0
52,163,52,NA,52,82,0
50,189,NA,189,189,105,1
44,153,44,NA,44,84,0
