"y3","t1","x0","x1"
54,0,93,93
54,0,74,74
43,0,76,76
42,0,78,78
56,0,86,86
31,0,87,87
172,1,86,NA
158,1,74,NA
56,0,66,66
163,1,76,NA
166,1,83,NA
59,0,72,NA
50,0,79,79
41,0,68,68
52,0,80,80
45,0,81,81
152,1,79,NA
52,0,78,78
59,0,98,NA
168,1,88,NA
45,0,91,91
37,0,71,71
161,1,82,NA
174,1,92,NA
158,1,79,NA
126,1,59,NA
167,1,83,83
27,0,61,61
44,0,72,72
170,1,93,NA
58,0,86,NA
176,1,91,NA
156,1,83,NA
45,0,79,79
50,0,71,71
64,0,96,NA
61,0,80,NA
37,0,73,73
49,0,89,89
52,0,91,91
176,1,99,NA
147,1,74,NA
160,1,76,NA
50,0,76,76
47,0,76,NA
58,0,76,NA
156,1,77,NA
172,1,94,NA
44,0,73,73
158,1,76,NA
47,0,87,87
46,0,91,91
42,0,72,72
45,0,75,75
176,1,85,NA
169,1,90,NA
44,0,77,77
149,1,66,NA
171,1,97,NA
57,0,94,NA
47,0,73,73
152,1,79,79
46,0,62,62
47,0,86,NA
45,0,96,96
30,0,64,64
29,0,72,72
151,1,74,NA
50,0,73,73
125,1,60,60
42,0,85,85
135,1,65,NA
48,0,80,80
53,0,86,NA
154,1,78,NA
175,1,89,NA
47,0,80,80
52,0,74,74
163,1,86,NA
40,0,76,76
62,0,98,NA
162,1,80,NA
169,1,89,NA
56,0,82,82
119,1,50,NA
37,0,66,66
155,1,76,NA
156,1,82,NA
25,0,57,NA
163,1,90,NA
146,1,74,74
40,0,72,72
131,1,64,64
44,0,65,65
41,0,81,81
148,1,85,NA
132,1,59,NA
43,0,70,70
161,1,85,NA
53,0,75,75
175,1,102,102
164,1,92,NA
163,1,86,86
58,0,80,NA
51,0,83,83
37,0,73,NA
161,1,86,NA
63,0,95,NA
44,0,91,91
147,1,72,NA
33,0,64,64
37,0,79,79
146,1,84,NA
166,1,94,NA
44,0,67,67
153,1,84,NA
157,1,82,NA
56,0,92,92
57,0,80,NA
55,0,76,76
38,0,69,69
153,1,75,NA
56,0,76,76
68,0,104,NA
74,0,104,NA
54,0,78,NA
46,0,70,NA
22,0,60,60
56,0,85,85
42,0,69,69
198,1,103,NA
140,1,71,NA
42,0,81,NA
79,0,118,118
156,1,69,NA
167,1,83,NA
141,1,69,NA
161,1,83,NA
33,0,71,71
36,0,81,81
41,0,77,77
137,1,68,NA
55,0,80,80
170,1,90,90
66,0,96,96
143,1,66,66
40,0,78,78
48,0,92,92
31,0,69,69
29,0,55,55
42,0,71,71
37,0,70,70
152,1,80,NA
53,0,76,76
148,1,82,NA
34,0,76,76
52,0,84,84
38,0,76,76
171,1,92,NA
44,0,73,73
153,1,83,NA
37,0,71,71
50,0,82,82
48,0,80,80
26,0,63,63
41,0,79,79
64,0,92,NA
48,0,87,NA
52,0,81,81
39,0,68,68
50,0,92,NA
49,0,81,81
46,0,75,75
63,0,96,96
151,1,72,NA
166,1,83,NA
47,0,93,93
34,0,86,86
50,0,77,77
156,1,76,NA
168,1,84,NA
154,1,85,NA
53,0,80,80
171,1,93,NA
39,0,79,79
44,0,73,NA
154,1,85,NA
130,1,58,NA
169,1,84,NA
158,1,85,NA
45,0,78,78
47,0,69,NA
155,1,76,NA
51,0,95,95
152,1,73,NA
32,0,57,57
56,0,88,88
37,0,75,75
44,0,75,75
41,0,68,68
50,0,80,80
159,1,87,NA
37,0,74,74
148,1,74,NA
51,0,91,NA
158,1,78,NA
61,0,78,NA
45,0,74,74
161,1,89,NA
41,0,70,70
162,1,88,NA
172,1,88,NA
44,0,75,75
48,0,88,88
51,0,90,90
46,0,86,86
193,1,100,NA
40,0,60,60
37,0,68,68
146,1,66,66
50,0,82,82
174,1,96,NA
179,1,97,NA
155,1,85,85
174,1,89,NA
143,1,79,NA
160,1,85,NA
149,1,84,NA
45,0,72,72
46,0,77,77
41,0,79,79
187,1,94,NA
40,0,70,70
25,0,59,59
162,1,88,NA
47,0,72,72
55,0,76,76
173,1,89,NA
43,0,72,72
53,0,77,77
63,0,95,NA
52,0,85,85
172,1,85,NA
58,0,79,NA
25,0,69,NA
40,0,65,65
44,0,78,78
185,1,100,NA
157,1,82,NA
48,0,82,82
161,1,83,NA
52,0,76,76
44,0,66,66
56,0,107,107
49,0,76,76
52,0,77,77
29,0,62,62
45,0,78,78
58,0,78,NA
50,0,77,77
44,0,62,NA
176,1,98,98
183,1,98,NA
163,1,87,NA
49,0,69,69
52,0,87,87
49,0,78,78
42,0,77,77
166,1,94,94
40,0,68,68
138,1,75,NA
49,0,73,73
43,0,80,80
140,1,64,NA
37,0,73,73
160,1,87,NA
161,1,85,NA
139,1,70,NA
164,1,86,NA
30,0,56,56
58,0,77,NA
57,0,87,NA
39,0,73,73
50,0,80,80
134,1,64,NA
61,0,88,NA
34,0,61,61
52,0,77,77
54,0,77,77
62,0,81,NA
43,0,72,72
59,0,98,NA
48,0,66,66
52,0,83,83
32,0,51,51
58,0,80,NA
57,0,85,NA
42,0,69,69
41,0,87,87
160,1,83,NA
176,1,90,NA
40,0,72,72
26,0,70,70
39,0,62,62
159,1,77,NA
39,0,67,NA
51,0,87,87
154,1,81,NA
178,1,102,NA
37,0,68,NA
54,0,92,92
41,0,75,75
36,0,65,NA
168,1,86,NA
52,0,66,66
46,0,69,69
46,0,73,73
161,1,82,NA
36,0,70,70
59,0,91,NA
34,0,68,68
158,1,82,NA
52,0,81,81
37,0,69,NA
152,1,76,NA
138,1,73,NA
65,0,90,NA
52,0,96,96
42,0,70,70
60,0,89,NA
34,0,79,NA
33,0,60,60
50,0,72,72
54,0,85,85
46,0,81,81
27,0,56,56
167,1,86,NA
62,0,87,NA
148,1,77,NA
41,0,73,73
170,1,100,NA
152,1,79,NA
47,0,80,80
33,0,69,69
38,0,67,NA
44,0,65,NA
158,1,76,NA
171,1,94,NA
52,0,98,98
169,1,96,NA
47,0,93,93
66,0,78,NA
52,0,68,68
51,0,77,77
34,0,56,56
43,0,77,77
178,1,97,NA
40,0,81,81
164,1,91,91
159,1,85,NA
152,1,72,NA
181,1,97,NA
47,0,79,79
43,0,70,70
138,1,81,81
38,0,65,65
59,0,89,NA
173,1,85,85
38,0,76,76
47,0,75,75
54,0,89,89
51,0,69,69
40,0,70,70
157,1,84,NA
38,0,75,75
157,1,89,NA
39,0,78,78
185,1,92,NA
155,1,85,NA
34,0,58,58
136,1,67,NA
179,1,93,NA
159,1,87,NA
154,1,70,NA
37,0,67,67
166,1,90,NA
52,0,72,72
56,0,98,98
174,1,98,98
42,0,65,65
137,1,72,NA
145,1,67,NA
176,1,87,NA
42,0,67,67
27,0,60,60
169,1,100,NA
46,0,90,90
62,0,88,NA
46,0,73,73
59,0,80,NA
51,0,86,86
29,0,67,67
38,0,79,79
58,0,82,82
54,0,97,97
174,1,86,NA
166,1,93,NA
47,0,81,81
34,0,69,69
28,0,77,77
35,0,63,63
176,1,89,NA
180,1,94,NA
46,0,79,79
39,0,70,70
56,0,91,91
54,0,81,81
55,0,76,76
171,1,91,NA
45,0,72,72
170,1,91,NA
51,0,72,72
66,0,84,NA
172,1,89,89
144,1,67,NA
165,1,84,NA
58,0,79,NA
61,0,87,NA
29,0,72,72
39,0,79,79
54,0,94,94
163,1,82,NA
170,1,88,NA
150,1,78,NA
43,0,70,70
52,0,80,80
134,1,68,NA
122,1,54,NA
39,0,92,92
138,1,69,NA
37,0,62,62
59,0,90,NA
37,0,80,80
49,0,74,74
163,1,78,NA
47,0,76,76
54,0,90,90
44,0,87,87
50,0,63,63
153,1,84,NA
72,0,87,NA
158,1,87,NA
112,1,56,NA
46,0,78,78
56,0,100,100
174,1,88,NA
23,0,63,NA
38,0,63,63
62,0,85,NA
138,1,78,NA
175,1,90,NA
153,1,83,NA
50,0,81,81
167,1,82,NA
167,1,82,NA
39,0,67,67
69,0,103,NA
42,0,66,66
37,0,80,NA
49,0,75,75
73,0,98,NA
178,1,90,NA
58,0,74,NA
157,1,82,82
177,1,92,NA
178,1,102,NA
178,1,83,NA
142,1,70,NA
41,0,70,70
52,0,100,100
24,0,59,59
66,0,111,NA
42,0,77,77
150,1,75,NA
163,1,82,NA
57,0,89,NA
167,1,83,NA
130,1,60,60
55,0,84,84
55,0,85,NA
58,0,87,NA
49,0,70,70
41,0,56,56
47,0,77,77
34,0,71,71
25,0,72,72
39,0,70,70
35,0,76,76
44,0,77,77
51,0,88,NA
56,0,90,90
139,1,72,NA
58,0,77,NA
57,0,84,84
168,1,94,NA
156,1,79,NA
37,0,63,NA
158,1,82,NA
61,0,79,NA
67,0,98,NA
161,1,83,NA
142,1,74,NA
50,0,76,76
48,0,75,75
154,1,82,NA
48,0,82,82
167,1,89,NA
53,0,83,83
41,0,76,76
56,0,71,71
155,1,86,NA
52,0,79,79
157,1,82,NA
160,1,91,NA
50,0,98,98
37,0,70,70
45,0,96,NA
46,0,71,71
163,1,83,NA
144,1,82,NA
143,1,77,NA
179,1,94,NA
52,0,73,NA
56,0,87,87
48,0,80,80
46,0,71,71
172,1,92,92
36,0,59,59
157,1,75,NA
44,0,65,NA
49,0,82,82
165,1,83,NA
32,0,69,69
167,1,87,NA
29,0,70,70
169,1,87,NA
52,0,82,82
161,1,87,NA
49,0,71,71
154,1,81,NA
32,0,75,75
50,0,65,NA
46,0,82,82
77,0,98,NA
144,1,74,NA
39,0,78,78
57,0,87,NA
155,1,80,NA
169,1,99,NA
155,1,87,87
173,1,103,NA
55,0,83,83
143,1,69,NA
160,1,84,NA
142,1,71,NA
40,0,70,70
48,0,78,78
173,1,89,NA
159,1,83,NA
49,0,88,NA
55,0,89,89
60,0,78,78
39,0,56,56
56,0,88,88
176,1,102,NA
158,1,81,NA
35,0,66,66
54,0,76,76
35,0,71,71
41,0,80,80
163,1,87,NA
173,1,89,NA
169,1,82,NA
50,0,71,71
168,1,88,NA
170,1,93,93
52,0,103,103
154,1,75,NA
64,0,85,NA
181,1,92,NA
48,0,79,79
33,0,85,85
155,1,82,NA
46,0,79,79
157,1,82,82
57,0,90,90
53,0,84,84
42,0,75,75
48,0,58,58
44,0,72,72
47,0,80,80
44,0,55,55
59,0,102,NA
30,0,65,65
158,1,68,NA
171,1,95,NA
31,0,58,58
171,1,87,NA
47,0,77,77
66,0,85,NA
157,1,89,NA
147,1,70,NA
148,1,73,NA
28,0,50,50
133,1,70,NA
59,0,84,NA
50,0,85,85
47,0,100,100
156,1,81,NA
64,0,85,NA
140,1,81,NA
53,0,75,75
55,0,87,87
51,0,85,85
152,1,81,NA
143,1,72,NA
44,0,80,80
50,0,88,NA
48,0,87,87
58,0,75,75
35,0,73,73
32,0,85,85
173,1,90,NA
164,1,81,NA
45,0,77,77
41,0,71,71
57,0,76,NA
24,0,65,65
36,0,73,73
